RBP ,Motif ID
SNRPB2,M318_0.6
SNRPB2,M319_0.6
SNRPB2,M345_0.6
SNRPB2,M346_0.6
SNRPB2,M347_0.6
SNRPB2,M348_0.6
SNRPB2,661_1717938
SNRPB2,662_1717938
SNRPB2,663_1717938
SNRPB2,946_10094314
SNRPB2,947_10094314
SNRPB2,948_10094314
SNRPB2,949_10094314
SRSF1,M102_0.6
SRSF1,M103_0.6
SRSF1,M104_0.6
SRSF1,M105_0.6
SRSF1,M106_0.6
SRSF1,M154_0.6
SRSF1,M270_0.6
SRSF1,M272_0.6
SRSF1,M273_0.6
SRSF1,M351_0.6
SRSF1,229_19116412
SRSF1,242_7543047
SRSF1,243_7543047
SRSF1,952_7543047
SRSF12,M019_0.6
SRSF12,M086_0.6
SRSF12,M087_0.6
SRSF12,M088_0.6
SRSF2,M070_0.6
SRSF2,M274_0.6
SRSF2,M332_0.6
SRSF2,M352_0.6
SRSF2,244_7543047
SRSF2,791_10094314
SRSF2,953_7543047
SRSF3,M056_0.6
SRSF3,M121_0.6
SRSF3,M335_0.6
SRSF3,M336_0.6
SRSF3,804_7664738
SRSF4,M126_0.6
SRSF4,M334_0.6
SRSF4,802_9111335
SRSF5,M355_0.6
SRSF5,M356_0.6
SRSF5,M357_0.6
SRSF5,983_9037021
SRSF5,984_9037021
SRSF5,985_9037021
SRSF6,M126_0.6
SRSF6,M334_0.6
SRSF6,802_9111335
SRSF7,M071_0.6
SRSF7,M331_0.6
SRSF7,M353_0.6
SRSF7,790_10094314
SRSF7,954_10094314
SRSF9,M065_0.6
SRSF9,M072_0.6
SRSF9,M333_0.6
SRSF9,797_17548433
STAR-PAP,M073_0.6
SYNCRIP,M236_0.6
SYNCRIP,M242_0.6
SYNCRIP,M243_0.6
TAF15,M316_0.6
TAF15,637_11098054
TARDBP,M074_0.6
TIA1,M075_0.6
TIA1,M156_0.6
TIAL1,M310_0.6
TIAL1,500_17682065
TRA2B,M311_0.6
TRA2B,547_9546399
U2AF2,M077_0.6
YBX1,M081_0.6
YBX1,M111_0.6
YBX1,1177_19561594
YBX2,M082_0.6
ybx2-a,114_7499328
ybx2-a,115_7499328
ybx2-a,130_11376140
ybx2-a,M250_0.6
ybx2-a,M254_0.6
ybx2-a,M260_0.6
YTHDC1,M354_0.6
YTHDC1,969_20167602
ZC3H10,M083_0.6
ZCRB1,M085_0.6
ZFP36,M263_0.6
ZFP36,M264_0.6
ZFP36,M265_0.6
ZFP36,M266_0.6
ZFP36,M267_0.6
ZFP36,M268_0.6
ZFP36,M269_0.6
ZFP36,M350_0.6
ZFP36,193_18367721
ZFP36,194_18256032
ZFP36,221_12324455
ZFP36,951_12324455
ZFP36L1,M263_0.6
ZFP36L1,M264_0.6
ZFP36L1,M265_0.6
ZFP36L1,M266_0.6
ZFP36L1,M267_0.6
ZFP36L1,M268_0.6
ZFP36L1,M269_0.6
ZFP36L1,M350_0.6
ZFP36L1,193_18367721
ZFP36L1,194_18256032
ZFP36L1,221_12324455
ZFP36L1,951_12324455
ZFP36L2,M263_0.6
ZFP36L2,M264_0.6
ZFP36L2,M265_0.6
ZFP36L2,M266_0.6
ZFP36L2,M267_0.6
ZFP36L2,M268_0.6
ZFP36L2,M269_0.6
ZFP36L2,M350_0.6
ZFP36L2,193_18367721
ZFP36L2,194_18256032
ZFP36L2,221_12324455
ZFP36L2,951_12324455
ZNF638,M155_0.6
ZRANB2,M259_0.6
ZRANB2,1285_19304800
